3,186,231,337,230,151,-1
1,205,125,42,211,-163,86
2,206,130,168,300,-38,170
3,111,160,199,224,88,64
1,215,197,241,433,26,236
2,218,199,414,210,196,11
3,225,321,317,194,92,-127
1,274,93,226,213,-48,120
2,278,94,302,352,24,258
3,209,236,313,236,104,0
1,409,52,412,49,3,-3
2,412,50,408,282,-4,232
3,330,143,397,145,67,2
1,284,145,303,143,19,-2
2,285,148,236,313,-49,165
3,183,306,287,306,104,0
1,275,137,310,116,35,-21
2,269,140,191,295,-78,155
3,183,296,305,296,122,0
1,233,80,141,375,-92,295
2,236,82,191,231,-45,149
3,176,247,235,247,59,0
1,213,81,221,91,8,10
2,212,80,298,215,86,135
3,305,216,150,183,-155,-33
1,211,84,65,349,-146,265
2,216,83,286,316,70,233
3,118,230,318,232,200,2
1,207,83,201,79,-6,-4
2,216,83,397,368,181,285
3,155,226,319,224,164,-2
1,313,109,172,364,-141,255
2,304,101,272,248,-32,147
3,240,248,397,238,157,-10
